PSNR,SSIM,LPIPS
-20.07,-0.00,0.53
-20.07,-0.00,0.53
-20.08,0.00,0.53
-20.07,-0.00,0.53
-20.07,0.00,0.53
-20.07,-0.00,0.53
-20.07,-0.00,0.53
-20.07,-0.00,0.53
-20.06,0.00,0.53
-20.06,0.00,0.53
-20.05,-0.00,0.53
-20.06,0.00,0.53
-20.05,0.00,0.53
-20.05,0.00,0.53
-20.04,-0.00,0.53
-20.04,-0.00,0.53
-20.08,0.00,0.53
-20.20,-0.00,0.50
-20.25,-0.00,0.52
-20.03,0.00,0.54
-20.03,0.00,0.54
-20.03,0.00,0.54
-20.03,-0.00,0.54
-20.02,-0.00,0.54
-20.01,0.00,0.54
-19.98,-0.00,0.54
-20.00,0.00,0.54
-19.98,-0.00,0.54
-19.98,0.00,0.54
-19.98,0.00,0.54
-19.99,0.00,0.54
-19.99,-0.00,0.54
-19.98,0.00,0.54
-19.98,-0.00,0.55
-19.98,0.00,0.55
-20.44,-0.00,0.57
-19.99,0.00,0.55
-20.00,-0.00,0.55
-20.00,-0.00,0.54
-20.00,0.00,0.54
-20.00,0.00,0.54
-20.00,0.00,0.54
-20.00,0.00,0.54
-20.00,0.00,0.53
-20.01,-0.00,0.51
-20.01,-0.00,0.53
-20.02,0.00,0.53
-20.01,0.00,0.52
-20.03,-0.00,0.52
-20.03,0.00,0.52
-20.04,0.00,0.52
-20.04,0.00,0.52
-20.05,-0.00,0.52
-20.07,0.00,0.52
-20.08,0.00,0.52
-20.08,-0.00,0.51
-20.09,-0.00,0.51
-20.10,0.00,0.51
-20.10,0.00,0.51
-20.10,0.00,0.51
-20.10,-0.00,0.51
-20.11,0.00,0.50
-20.12,0.00,0.50
-20.12,0.00,0.50
-20.12,-0.00,0.50
-20.12,-0.00,0.50
-20.11,0.00,0.50
-20.10,-0.00,0.50
-20.10,0.00,0.50
-20.11,-0.00,0.50
-20.11,0.00,0.50
-20.11,-0.00,0.50
-20.09,-0.00,0.50
-20.05,0.00,0.50
-20.02,-0.00,0.50
-20.03,0.00,0.51
-20.06,-0.00,0.51
-20.08,0.00,0.51
-20.11,-0.00,0.51
-20.11,-0.00,0.51
-20.11,0.00,0.51
-20.11,-0.00,0.51
-20.12,0.00,0.51
-20.14,-0.00,0.51
-20.14,-0.00,0.51
-20.15,0.00,0.51
-20.14,0.00,0.51
-20.15,-0.00,0.52
-20.15,0.00,0.52
-20.15,0.00,0.52
-20.14,-0.00,0.52
-20.13,0.00,0.52
-20.14,-0.00,0.52
-20.13,0.00,0.53
-20.21,0.00,0.54
-20.14,0.00,0.53
-20.15,0.00,0.53
-20.15,0.00,0.53
-20.16,-0.00,0.54
-20.17,-0.00,0.54
-20.17,0.00,0.54
-20.17,0.00,0.54
-20.15,-0.00,0.54
-20.14,-0.00,0.54
-20.14,0.00,0.55
-20.13,0.00,0.55
-20.13,0.00,0.55
-20.13,-0.00,0.55
-20.13,0.00,0.55
-20.14,0.00,0.55
-20.13,0.00,0.55
-20.14,0.00,0.55
-20.13,0.00,0.55
-20.13,-0.00,0.54
-20.13,0.00,0.55
-20.13,-0.00,0.54
-20.12,-0.00,0.54
-20.12,-0.00,0.54
-20.12,0.00,0.54
-20.11,-0.00,0.54
