PSNR,SSIM,LPIPS
-20.03,-0.01,0.43
-20.04,-0.01,0.43
-20.06,-0.01,0.43
-20.07,-0.00,0.43
-20.07,0.00,0.43
-20.07,0.00,0.43
-20.07,0.00,0.43
-20.06,0.00,0.43
-20.05,0.01,0.43
-20.05,0.01,0.44
-20.05,0.01,0.44
-20.05,0.01,0.44
-20.05,0.01,0.43
-20.05,0.01,0.43
-20.04,0.01,0.43
-20.04,0.00,0.43
-20.08,0.01,0.45
-20.20,0.00,0.49
-20.18,-0.00,0.49
-20.00,0.01,0.44
-20.00,0.01,0.44
-19.99,0.00,0.44
-20.02,0.00,0.44
-20.00,-0.00,0.44
-19.99,-0.00,0.44
-19.98,0.00,0.43
-19.98,0.00,0.43
-19.97,0.00,0.43
-19.97,0.01,0.43
-19.97,0.00,0.44
-20.09,0.00,0.47
-19.97,0.00,0.44
-19.95,0.00,0.44
-19.96,0.00,0.44
-19.97,0.00,0.44
-20.39,0.00,0.53
-19.96,0.01,0.44
-20.00,0.00,0.45
-20.02,0.00,0.45
-20.05,0.00,0.45
-20.08,-0.00,0.45
-20.08,0.00,0.46
-20.07,0.00,0.46
-20.08,0.00,0.47
-20.10,0.00,0.51
-19.97,0.00,0.44
-19.94,0.01,0.43
-19.92,0.01,0.42
-19.92,0.00,0.42
-19.92,0.00,0.42
-19.92,0.00,0.42
-19.90,0.00,0.41
-19.91,0.00,0.42
-19.94,0.01,0.42
-19.95,0.00,0.42
-19.95,0.00,0.42
-19.95,0.00,0.43
-19.96,0.00,0.43
-19.96,0.00,0.43
-19.97,0.00,0.43
-19.97,0.00,0.42
-19.97,0.00,0.42
-19.98,0.00,0.42
-19.98,0.00,0.43
-19.97,0.00,0.43
-19.97,0.00,0.43
-19.99,0.00,0.43
-20.00,0.00,0.43
-20.01,0.00,0.43
-20.02,0.00,0.43
-20.01,0.00,0.43
-20.02,0.00,0.43
-20.00,0.00,0.43
-19.99,0.00,0.44
-19.98,0.00,0.44
-20.00,0.00,0.44
-20.01,0.00,0.45
-20.01,0.00,0.45
-20.02,0.00,0.45
-20.02,0.00,0.45
-20.01,0.00,0.44
-20.00,0.00,0.44
-19.99,0.00,0.44
-19.98,0.00,0.44
-19.98,0.00,0.44
-19.99,0.00,0.45
-20.00,0.01,0.45
-19.99,0.01,0.44
-19.99,0.00,0.44
-19.97,0.01,0.44
-20.02,0.00,0.45
-20.08,0.00,0.46
-20.10,0.00,0.47
-20.05,0.00,0.45
-20.08,0.00,0.48
-20.03,0.00,0.44
-20.01,0.00,0.43
-20.01,0.00,0.43
-20.01,0.00,0.43
-20.02,0.00,0.44
-20.02,-0.00,0.44
-20.02,0.00,0.43
-20.01,0.00,0.43
-20.01,0.00,0.43
-20.01,0.00,0.43
-20.00,0.00,0.43
-20.00,0.00,0.43
-19.99,0.00,0.43
-19.98,0.00,0.43
-19.98,0.00,0.43
-19.96,0.00,0.43
-20.03,-0.00,0.45
-19.97,0.00,0.44
-19.95,0.00,0.43
-19.95,0.00,0.43
-19.95,0.00,0.43
-19.96,0.00,0.43
-19.96,0.01,0.43
-19.96,0.00,0.43
-19.96,0.00,0.43
