PSNR,SSIM,LPIPS
-20.12,0.00,0.53
-20.11,0.00,0.53
-20.12,0.00,0.53
-20.12,-0.00,0.53
-20.13,-0.00,0.53
-20.13,0.00,0.53
-20.14,-0.00,0.53
-20.13,0.00,0.53
-20.13,0.00,0.53
-20.13,0.00,0.53
-20.13,0.00,0.53
-20.13,0.00,0.52
-20.13,0.00,0.52
-20.12,0.00,0.53
-20.12,-0.00,0.53
-20.11,0.00,0.53
-20.14,0.00,0.53
-20.14,0.00,0.56
-20.14,-0.00,0.55
-20.12,0.00,0.53
-20.12,0.00,0.53
-20.12,-0.00,0.53
-20.12,0.00,0.53
-20.12,0.00,0.53
-20.11,0.00,0.53
-20.10,0.00,0.53
-20.09,0.00,0.53
-20.08,-0.00,0.53
-20.09,0.00,0.54
-20.10,0.00,0.54
-20.10,0.00,0.54
-20.11,0.00,0.54
-20.10,-0.00,0.55
-20.11,-0.00,0.55
-20.11,0.00,0.55
-20.35,-0.00,0.58
-20.12,0.00,0.55
-20.12,-0.00,0.55
-20.12,-0.00,0.55
-20.12,0.00,0.55
-20.12,0.00,0.55
-20.12,-0.00,0.55
-20.12,-0.00,0.55
-20.13,0.00,0.55
-20.17,-0.00,0.57
-20.12,-0.00,0.55
-20.13,-0.00,0.55
-20.12,0.00,0.54
-20.13,0.00,0.54
-20.13,0.00,0.54
-20.13,-0.00,0.54
-20.12,-0.00,0.55
-20.12,0.00,0.55
-20.13,0.00,0.54
-20.13,0.00,0.54
-20.13,0.00,0.54
-20.13,0.00,0.54
-20.13,-0.00,0.54
-20.13,0.00,0.54
-20.13,-0.00,0.55
-20.13,0.00,0.55
-20.13,-0.00,0.55
-20.13,-0.00,0.54
-20.14,-0.00,0.54
-20.14,-0.00,0.54
-20.14,0.00,0.54
-20.15,-0.00,0.54
-20.15,0.00,0.54
-20.15,0.00,0.54
-20.16,-0.00,0.54
-20.17,-0.00,0.54
-20.17,-0.00,0.54
-20.18,-0.00,0.54
-20.18,-0.00,0.54
-20.16,0.00,0.54
-20.15,-0.00,0.54
-20.16,0.00,0.54
-20.18,-0.00,0.53
-20.20,-0.00,0.54
-20.21,0.00,0.53
-20.21,-0.00,0.53
-20.21,-0.00,0.53
-20.21,0.00,0.53
-20.21,0.00,0.53
-20.22,-0.00,0.53
-20.21,0.00,0.53
-20.20,-0.00,0.53
-20.20,-0.00,0.53
-20.21,-0.00,0.53
-20.20,-0.00,0.53
-20.18,0.00,0.53
-20.17,-0.00,0.53
-20.17,-0.00,0.53
-20.17,-0.00,0.53
-20.20,0.00,0.55
-20.17,-0.00,0.53
-20.17,-0.00,0.53
-20.17,0.00,0.53
-20.16,-0.00,0.53
-20.17,-0.00,0.53
-20.17,-0.00,0.54
-20.16,0.00,0.54
-20.16,-0.00,0.54
-20.16,0.00,0.54
-20.16,-0.00,0.54
-20.16,0.00,0.54
-20.16,0.00,0.54
-20.15,0.00,0.54
-20.16,-0.00,0.54
-20.16,0.00,0.54
-20.15,-0.00,0.53
-20.16,0.00,0.53
-20.16,-0.00,0.54
-20.16,0.00,0.54
-20.16,0.00,0.54
-20.16,0.00,0.54
-20.16,0.00,0.53
-20.16,0.00,0.54
-20.15,-0.00,0.53
-20.15,-0.00,0.53
