PSNR,SSIM
11.59,0.33
11.45,0.32
11.34,0.32
11.29,0.32
11.20,0.32
11.09,0.32
11.03,0.32
10.98,0.32
10.93,0.32
10.88,0.31
10.83,0.31
10.79,0.31
10.76,0.31
10.76,0.31
10.81,0.31
10.88,0.32
10.03,0.33
6.04,0.35
6.90,0.36
10.98,0.32
11.18,0.33
11.23,0.33
11.26,0.33
11.28,0.33
11.33,0.33
11.18,0.34
11.54,0.34
11.63,0.34
11.62,0.34
11.55,0.33
11.51,0.33
11.45,0.33
11.40,0.33
11.36,0.32
11.24,0.32
7.06,0.32
11.14,0.32
11.17,0.32
11.21,0.32
11.28,0.32
11.40,0.32
11.49,0.32
11.53,0.32
11.57,0.32
8.68,0.40
14.92,0.39
12.66,0.35
13.67,0.38
13.64,0.38
15.61,0.40
13.79,0.40
11.08,0.38
10.15,0.37
9.83,0.37
12.67,0.39
11.95,0.38
11.77,0.38
11.92,0.39
12.25,0.39
12.34,0.39
13.43,0.40
13.62,0.40
13.92,0.40
12.47,0.39
10.27,0.37
9.32,0.36
9.23,0.36
9.53,0.37
10.01,0.37
10.60,0.38
11.13,0.38
11.62,0.38
12.14,0.38
12.77,0.40
12.88,0.42
13.25,0.43
13.34,0.42
13.05,0.39
12.86,0.37
12.72,0.36
12.82,0.36
12.98,0.36
13.63,0.36
13.91,0.36
14.33,0.36
14.40,0.36
14.20,0.36
13.94,0.35
13.67,0.35
13.46,0.35
13.55,0.35
13.91,0.36
13.80,0.35
13.77,0.35
14.80,0.39
13.91,0.36
13.90,0.36
13.69,0.36
13.66,0.37
13.56,0.38
13.55,0.38
13.66,0.39
13.83,0.38
14.38,0.38
14.64,0.39
14.77,0.39
14.78,0.39
14.70,0.39
14.65,0.39
14.72,0.39
14.89,0.39
15.00,0.39
15.05,0.39
15.13,0.39
14.87,0.38
14.97,0.39
15.11,0.39
15.21,0.39
15.43,0.39
15.78,0.39
