PSNR,SSIM
15.74,0.23
15.58,0.23
15.44,0.23
15.34,0.23
15.27,0.24
15.22,0.24
15.17,0.24
15.09,0.24
15.09,0.24
15.08,0.23
15.05,0.23
15.02,0.23
15.01,0.23
15.02,0.23
15.07,0.23
15.17,0.23
14.87,0.25
9.67,0.27
10.67,0.26
15.40,0.23
15.50,0.22
15.52,0.22
15.57,0.22
15.63,0.22
15.73,0.23
15.91,0.23
15.96,0.23
16.10,0.24
16.16,0.24
16.16,0.24
16.16,0.24
16.14,0.24
16.15,0.24
16.25,0.24
16.23,0.24
12.23,0.27
16.17,0.24
16.22,0.24
16.22,0.24
16.22,0.25
16.35,0.25
16.44,0.25
16.53,0.25
16.55,0.24
11.17,0.26
16.48,0.24
16.33,0.25
16.34,0.25
16.32,0.25
16.46,0.25
16.57,0.25
16.77,0.26
16.71,0.26
16.59,0.26
16.45,0.25
16.52,0.25
16.58,0.26
16.54,0.26
16.52,0.26
16.46,0.26
16.35,0.26
16.34,0.26
16.32,0.26
16.28,0.26
16.23,0.26
16.19,0.26
16.18,0.26
16.19,0.27
16.17,0.26
16.19,0.26
16.04,0.27
16.04,0.27
15.80,0.27
15.99,0.28
16.11,0.29
15.98,0.30
15.74,0.30
15.18,0.28
14.78,0.27
14.73,0.27
14.82,0.27
14.99,0.27
15.26,0.27
15.58,0.27
16.04,0.27
16.12,0.27
16.21,0.27
16.36,0.27
16.36,0.26
16.42,0.26
16.54,0.26
16.84,0.26
16.59,0.25
16.62,0.25
16.21,0.26
16.36,0.25
16.26,0.25
16.11,0.25
16.11,0.25
15.99,0.25
16.07,0.25
16.13,0.25
16.17,0.25
16.25,0.25
16.24,0.25
16.24,0.25
16.28,0.25
16.28,0.25
16.26,0.25
16.27,0.25
16.33,0.25
16.39,0.25
16.43,0.25
16.47,0.25
16.50,0.25
16.55,0.25
16.57,0.25
16.58,0.25
16.60,0.24
16.64,0.24
