PSNR,SSIM
14.58,0.27
13.23,0.27
14.59,0.26
14.62,0.26
14.72,0.26
14.73,0.27
14.75,0.27
14.81,0.27
14.82,0.27
14.88,0.27
14.93,0.28
14.94,0.28
14.76,0.28
14.56,0.27
14.52,0.27
14.73,0.28
14.97,0.30
10.40,0.33
10.85,0.31
14.97,0.27
15.14,0.27
15.36,0.27
15.49,0.27
15.58,0.26
15.69,0.27
15.86,0.27
15.97,0.28
13.11,0.32
16.08,0.26
16.06,0.26
16.08,0.26
16.05,0.26
15.98,0.26
15.96,0.25
15.85,0.25
11.86,0.28
15.93,0.25
16.07,0.25
15.13,0.25
12.63,0.26
14.28,0.26
15.19,0.25
16.14,0.24
16.27,0.24
11.02,0.25
16.32,0.24
16.17,0.24
16.35,0.25
16.50,0.24
16.74,0.25
16.74,0.25
16.73,0.25
16.55,0.25
16.45,0.25
16.30,0.24
16.35,0.24
16.48,0.25
16.48,0.25
16.48,0.25
16.43,0.25
16.25,0.25
16.20,0.25
16.12,0.25
15.90,0.25
15.78,0.25
16.19,0.26
15.70,0.25
15.49,0.25
15.27,0.24
14.95,0.24
14.68,0.24
14.78,0.24
14.92,0.24
15.26,0.25
15.37,0.26
15.34,0.27
15.18,0.27
14.46,0.27
14.42,0.24
14.34,0.24
14.35,0.27
14.70,0.25
14.53,0.25
15.05,0.26
15.47,0.25
15.88,0.25
15.97,0.25
16.07,0.24
16.07,0.24
16.06,0.24
16.18,0.24
16.42,0.25
16.18,0.25
16.14,0.26
15.41,0.27
15.51,0.26
15.22,0.26
14.91,0.26
14.83,0.26
14.69,0.27
14.73,0.27
14.95,0.28
15.06,0.28
15.19,0.28
15.26,0.29
15.31,0.29
15.33,0.29
15.45,0.29
15.70,0.29
15.85,0.29
15.82,0.29
15.72,0.29
15.64,0.29
15.60,0.29
15.57,0.29
15.55,0.28
15.55,0.28
15.53,0.27
15.49,0.27
15.47,0.27
