PSNR,SSIM
15.91,0.22
15.91,0.22
15.84,0.22
15.81,0.23
15.80,0.23
15.77,0.23
15.73,0.23
15.65,0.23
15.61,0.23
15.62,0.23
15.60,0.23
15.58,0.23
15.58,0.23
15.56,0.23
15.59,0.23
15.65,0.23
15.57,0.25
10.37,0.29
11.05,0.26
15.66,0.23
15.73,0.23
15.77,0.23
15.82,0.24
15.84,0.23
15.91,0.24
16.18,0.24
16.03,0.24
16.12,0.24
16.20,0.24
16.21,0.24
16.17,0.24
16.14,0.24
16.15,0.24
16.21,0.24
16.25,0.24
12.87,0.29
16.30,0.25
16.36,0.25
16.38,0.25
16.37,0.25
16.41,0.25
16.44,0.25
16.54,0.25
16.49,0.25
11.42,0.26
16.46,0.25
16.41,0.25
16.46,0.25
16.49,0.25
16.62,0.26
16.68,0.26
16.79,0.26
16.79,0.26
16.72,0.26
16.62,0.26
16.60,0.26
16.59,0.26
16.48,0.26
16.49,0.26
16.47,0.26
16.42,0.26
16.48,0.27
16.55,0.27
16.62,0.27
16.64,0.27
16.64,0.27
16.62,0.27
16.58,0.27
16.49,0.27
16.44,0.27
16.24,0.27
16.18,0.27
16.00,0.28
16.25,0.28
16.40,0.30
16.33,0.31
16.13,0.30
15.56,0.28
15.23,0.28
15.10,0.27
15.15,0.27
15.28,0.27
15.48,0.27
15.58,0.27
15.83,0.27
15.86,0.27
15.94,0.27
16.13,0.26
16.13,0.26
16.18,0.25
16.26,0.25
16.39,0.25
16.22,0.25
16.32,0.25
16.12,0.26
16.28,0.25
16.25,0.25
16.17,0.25
16.20,0.26
16.08,0.26
16.14,0.26
16.23,0.26
16.18,0.26
16.20,0.26
16.23,0.26
16.28,0.26
16.35,0.26
16.39,0.26
16.42,0.26
16.46,0.26
16.50,0.26
16.56,0.26
16.60,0.26
16.65,0.26
16.68,0.25
16.71,0.26
16.73,0.26
16.70,0.26
16.70,0.26
16.69,0.25
