PSNR,SSIM
15.63,0.26
15.70,0.26
15.68,0.26
15.61,0.26
15.62,0.27
15.59,0.27
15.49,0.27
15.40,0.27
15.32,0.27
15.29,0.27
15.26,0.27
15.17,0.27
15.06,0.27
15.01,0.27
15.01,0.26
15.02,0.26
14.76,0.28
10.06,0.31
10.70,0.29
15.28,0.27
15.34,0.27
15.32,0.27
15.37,0.26
15.46,0.27
15.58,0.26
15.87,0.27
15.88,0.27
16.09,0.27
16.03,0.27
16.05,0.27
16.04,0.26
16.03,0.26
16.04,0.26
16.03,0.26
15.86,0.25
12.20,0.29
15.86,0.25
15.96,0.25
16.02,0.25
16.01,0.25
16.08,0.25
16.15,0.25
16.28,0.25
16.28,0.24
11.21,0.26
16.27,0.24
16.26,0.24
16.44,0.25
16.56,0.25
16.76,0.25
16.89,0.25
15.86,0.27
16.75,0.26
16.68,0.25
16.64,0.25
16.61,0.25
16.58,0.25
16.52,0.25
16.60,0.26
16.54,0.26
16.49,0.25
16.54,0.26
16.57,0.26
16.58,0.26
16.58,0.26
16.55,0.26
16.58,0.26
16.55,0.26
16.44,0.25
16.28,0.25
16.11,0.25
16.06,0.26
15.99,0.26
16.06,0.27
16.12,0.29
16.14,0.29
15.87,0.28
15.33,0.26
14.94,0.26
14.81,0.26
14.88,0.26
15.07,0.26
15.26,0.26
15.35,0.26
15.54,0.26
15.54,0.26
15.55,0.25
15.54,0.26
15.32,0.26
15.73,0.24
15.74,0.24
15.71,0.24
15.64,0.24
15.68,0.25
15.24,0.26
15.58,0.25
15.55,0.25
15.52,0.26
15.46,0.26
15.34,0.26
15.48,0.27
15.64,0.27
15.66,0.27
15.70,0.27
15.71,0.27
15.74,0.27
15.77,0.27
15.81,0.27
15.85,0.28
15.89,0.27
15.93,0.27
15.95,0.27
15.95,0.27
15.93,0.27
15.92,0.27
15.95,0.26
16.03,0.26
16.09,0.26
16.16,0.27
16.25,0.27
