PSNR,SSIM
11.46,0.33
11.36,0.33
11.28,0.32
11.24,0.33
11.17,0.32
11.09,0.32
11.03,0.32
10.98,0.32
10.94,0.32
10.89,0.32
10.84,0.32
10.80,0.32
10.78,0.32
10.77,0.32
10.82,0.32
10.89,0.33
10.04,0.33
6.03,0.36
6.84,0.36
10.93,0.33
11.13,0.33
11.20,0.33
11.24,0.33
11.26,0.33
11.32,0.33
11.18,0.34
11.53,0.34
11.62,0.34
11.61,0.34
11.55,0.33
11.51,0.33
11.45,0.33
11.39,0.33
11.35,0.33
11.24,0.32
7.04,0.32
11.12,0.32
11.14,0.32
11.16,0.32
11.22,0.32
11.35,0.32
11.46,0.32
11.49,0.32
11.46,0.32
7.08,0.31
11.50,0.32
11.51,0.32
11.58,0.33
11.69,0.33
12.84,0.36
14.05,0.39
18.02,0.43
17.23,0.42
16.46,0.41
16.12,0.41
16.48,0.42
16.47,0.42
16.14,0.41
14.38,0.40
13.32,0.39
13.43,0.39
12.35,0.38
11.77,0.37
11.87,0.37
12.24,0.38
12.47,0.38
12.37,0.38
12.04,0.37
11.90,0.36
12.01,0.36
12.07,0.36
12.13,0.36
12.08,0.36
12.22,0.38
12.40,0.40
12.58,0.41
12.40,0.40
11.89,0.37
11.48,0.35
11.43,0.35
11.46,0.35
11.53,0.35
11.59,0.35
11.61,0.35
11.66,0.35
11.65,0.35
11.36,0.34
11.88,0.35
12.05,0.35
11.94,0.35
11.66,0.34
11.48,0.35
11.14,0.34
10.82,0.34
10.96,0.37
10.55,0.34
10.68,0.35
10.96,0.36
11.35,0.37
11.50,0.37
11.40,0.38
11.27,0.37
11.71,0.39
11.77,0.41
11.94,0.41
13.06,0.41
11.04,0.40
9.54,0.39
14.87,0.42
14.69,0.42
13.64,0.41
12.13,0.38
12.61,0.38
13.13,0.38
11.75,0.40
9.24,0.33
8.95,0.35
9.67,0.37
12.71,0.37
11.90,0.34
