PSNR,SSIM
16.15,0.24
16.14,0.23
16.10,0.23
16.06,0.23
16.06,0.23
16.07,0.23
16.08,0.23
16.07,0.23
16.11,0.23
16.13,0.23
16.08,0.23
16.02,0.23
15.96,0.23
15.96,0.22
16.02,0.23
16.15,0.23
15.88,0.25
10.28,0.29
11.28,0.27
16.47,0.23
16.61,0.23
16.69,0.23
16.82,0.23
16.93,0.24
17.05,0.24
17.35,0.26
17.40,0.26
17.70,0.28
17.98,0.30
18.19,0.31
18.35,0.33
18.40,0.33
18.44,0.33
18.55,0.32
18.58,0.31
13.12,0.34
18.40,0.30
18.19,0.30
18.01,0.29
17.92,0.29
17.97,0.28
17.98,0.28
18.04,0.28
18.04,0.28
11.53,0.29
17.87,0.28
17.65,0.27
17.61,0.27
17.61,0.27
17.77,0.28
17.77,0.28
17.86,0.28
17.75,0.28
17.54,0.27
17.32,0.27
17.30,0.27
17.42,0.28
17.40,0.28
17.39,0.28
17.25,0.28
17.20,0.28
17.20,0.28
17.10,0.28
17.07,0.29
17.06,0.29
17.02,0.29
17.00,0.29
17.01,0.29
17.00,0.28
16.96,0.28
16.78,0.28
16.75,0.28
16.54,0.28
16.74,0.29
16.74,0.30
16.55,0.30
16.34,0.30
15.85,0.28
15.47,0.28
15.33,0.28
15.32,0.28
15.46,0.28
15.78,0.28
16.05,0.28
16.24,0.28
16.35,0.27
16.41,0.27
16.55,0.27
16.56,0.26
16.60,0.26
16.75,0.26
16.99,0.27
16.76,0.26
16.77,0.26
16.33,0.28
16.64,0.26
16.57,0.26
16.39,0.26
16.36,0.26
16.20,0.26
16.19,0.26
16.24,0.27
16.28,0.26
16.36,0.26
16.37,0.27
16.38,0.27
16.38,0.27
16.40,0.27
16.43,0.27
16.44,0.27
16.47,0.27
16.51,0.27
16.56,0.27
16.61,0.27
16.66,0.27
16.67,0.27
16.70,0.27
16.69,0.27
16.68,0.27
16.68,0.26
