PSNR,SSIM
14.71,0.27
14.59,0.27
14.49,0.27
14.56,0.27
14.50,0.27
14.38,0.28
14.23,0.28
14.13,0.27
14.07,0.27
14.02,0.27
13.96,0.27
13.95,0.27
13.99,0.27
14.02,0.27
14.06,0.27
14.14,0.27
13.74,0.29
9.14,0.31
10.13,0.30
14.93,0.28
15.35,0.28
15.59,0.28
15.82,0.28
15.98,0.28
16.19,0.29
16.43,0.30
16.64,0.30
16.91,0.31
17.09,0.32
17.19,0.33
17.26,0.34
17.30,0.34
17.36,0.33
17.50,0.32
17.42,0.31
11.73,0.33
17.29,0.30
17.28,0.30
17.30,0.30
17.43,0.30
17.55,0.30
17.44,0.29
17.39,0.28
17.28,0.28
11.38,0.29
17.33,0.27
17.00,0.26
17.01,0.27
17.25,0.27
17.43,0.28
17.51,0.28
17.56,0.28
17.48,0.27
17.27,0.27
17.03,0.27
17.17,0.27
17.22,0.27
17.17,0.27
17.24,0.27
17.13,0.28
17.07,0.28
17.01,0.28
16.93,0.27
16.85,0.28
16.76,0.28
16.76,0.28
16.75,0.28
16.71,0.28
16.67,0.28
15.89,0.29
16.37,0.28
16.30,0.27
16.03,0.28
16.33,0.28
16.47,0.30
16.17,0.30
15.95,0.29
15.57,0.28
15.13,0.27
14.96,0.26
14.95,0.26
15.06,0.26
15.45,0.27
15.86,0.27
16.12,0.27
16.11,0.26
16.26,0.26
16.45,0.26
16.49,0.25
16.54,0.25
16.50,0.25
16.79,0.26
16.62,0.26
16.59,0.27
15.88,0.28
16.12,0.27
15.71,0.27
15.18,0.27
14.96,0.27
14.73,0.27
14.83,0.29
14.97,0.29
15.39,0.32
14.94,0.27
14.95,0.27
15.03,0.27
14.97,0.27
14.99,0.27
14.99,0.27
15.00,0.27
15.01,0.27
15.01,0.27
15.02,0.27
15.03,0.27
15.07,0.27
15.12,0.27
15.19,0.27
15.24,0.27
15.30,0.27
15.35,0.27
