PSNR,SSIM
16.32,0.22
16.26,0.22
16.20,0.22
16.16,0.22
16.10,0.23
16.06,0.23
16.03,0.23
16.00,0.23
16.03,0.23
16.04,0.23
15.98,0.23
15.90,0.23
15.85,0.23
15.86,0.23
15.94,0.24
16.04,0.24
15.69,0.25
10.41,0.30
11.58,0.29
16.37,0.24
16.48,0.24
16.57,0.24
16.63,0.23
16.67,0.23
16.75,0.24
17.06,0.24
17.00,0.24
17.17,0.24
17.24,0.24
17.26,0.24
17.24,0.24
17.23,0.24
17.25,0.24
17.29,0.24
17.25,0.24
13.07,0.29
17.15,0.24
17.12,0.24
17.11,0.24
17.10,0.24
17.19,0.24
17.20,0.24
17.20,0.24
17.11,0.24
11.57,0.26
16.99,0.24
16.88,0.24
16.95,0.24
16.92,0.24
17.04,0.24
17.07,0.24
17.18,0.24
17.05,0.24
16.81,0.24
16.58,0.23
16.56,0.23
16.60,0.23
16.51,0.23
16.48,0.23
16.39,0.23
16.26,0.23
16.18,0.23
16.09,0.23
16.04,0.23
16.04,0.22
16.09,0.23
16.22,0.23
16.30,0.23
16.28,0.23
16.25,0.23
15.96,0.22
15.89,0.22
15.82,0.23
16.44,0.23
16.82,0.24
16.62,0.24
16.21,0.24
15.41,0.23
14.86,0.21
14.62,0.21
14.57,0.21
14.66,0.21
14.81,0.21
15.02,0.21
15.21,0.21
15.15,0.21
15.23,0.21
15.53,0.21
15.71,0.21
15.83,0.21
15.90,0.21
16.05,0.21
15.89,0.21
15.94,0.21
15.01,0.21
15.69,0.21
15.57,0.21
15.42,0.21
15.29,0.21
15.12,0.21
15.13,0.21
15.13,0.21
15.19,0.21
15.27,0.21
15.33,0.22
15.41,0.22
15.50,0.22
15.59,0.22
15.63,0.22
15.66,0.22
15.69,0.22
15.73,0.22
15.75,0.22
15.77,0.22
15.79,0.22
15.82,0.22
15.89,0.22
15.92,0.22
15.98,0.22
16.08,0.22
