PSNR,SSIM
11.46,0.33
11.36,0.33
11.28,0.32
11.24,0.33
11.17,0.32
11.09,0.32
11.03,0.32
10.98,0.32
10.94,0.32
10.89,0.32
10.84,0.32
10.80,0.32
10.78,0.32
10.77,0.32
10.82,0.32
10.89,0.33
10.04,0.33
6.03,0.36
6.84,0.36
10.93,0.33
11.13,0.33
11.20,0.33
11.24,0.33
11.26,0.33
11.32,0.33
11.18,0.34
11.53,0.34
11.62,0.34
11.61,0.34
11.55,0.33
11.51,0.33
11.45,0.33
11.39,0.33
11.35,0.33
11.24,0.32
7.04,0.32
11.12,0.32
11.14,0.32
11.16,0.32
11.22,0.32
11.35,0.32
11.46,0.32
11.49,0.32
11.47,0.32
7.08,0.31
11.50,0.32
11.51,0.32
7.73,0.03
7.89,0.04
10.62,0.27
9.77,0.19
5.49,0.32
9.33,0.14
14.90,0.40
10.07,0.37
10.91,0.37
8.70,0.36
9.77,0.37
10.99,0.38
11.79,0.36
11.90,0.32
10.55,0.21
10.57,0.20
10.67,0.20
10.72,0.20
10.94,0.20
10.87,0.21
10.85,0.22
10.94,0.23
11.09,0.24
10.84,0.24
10.67,0.25
10.58,0.26
10.63,0.27
10.41,0.28
10.10,0.28
10.04,0.27
10.11,0.27
10.06,0.26
9.92,0.25
9.83,0.25
9.87,0.25
9.97,0.25
10.09,0.24
10.19,0.24
10.13,0.24
10.06,0.22
10.03,0.21
9.92,0.19
9.80,0.18
9.79,0.17
9.90,0.17
9.59,0.15
9.33,0.15
8.56,0.14
8.99,0.13
8.67,0.11
8.33,0.09
8.34,0.09
8.62,0.14
8.75,0.15
8.67,0.14
8.61,0.13
9.41,0.20
10.98,0.28
11.00,0.28
11.02,0.29
10.74,0.27
11.15,0.30
11.04,0.30
10.80,0.29
8.77,0.14
8.81,0.15
8.80,0.14
8.78,0.14
8.81,0.14
10.76,0.28
9.58,0.20
9.74,0.22
9.91,0.23
