PSNR,SSIM
15.96,0.21
15.95,0.21
15.90,0.21
15.87,0.21
15.85,0.22
15.83,0.22
15.80,0.22
15.74,0.21
15.75,0.21
15.79,0.21
15.77,0.21
15.72,0.21
15.67,0.21
15.67,0.21
15.73,0.21
15.77,0.21
15.78,0.23
10.51,0.27
11.09,0.25
15.93,0.22
16.03,0.22
16.11,0.22
16.17,0.22
16.16,0.22
16.20,0.22
16.42,0.23
16.32,0.23
16.47,0.23
16.56,0.23
16.61,0.24
16.58,0.24
16.53,0.24
16.57,0.24
16.70,0.24
16.80,0.24
12.87,0.29
16.89,0.25
16.92,0.25
16.97,0.25
16.96,0.25
17.06,0.26
17.02,0.26
17.10,0.26
17.15,0.26
11.50,0.27
17.05,0.25
16.98,0.26
17.09,0.26
17.17,0.26
17.40,0.27
17.43,0.27
17.51,0.27
17.40,0.27
17.24,0.27
17.11,0.26
17.09,0.26
17.11,0.26
17.00,0.27
16.96,0.27
16.87,0.27
16.83,0.27
16.86,0.28
16.82,0.28
16.83,0.28
16.80,0.28
16.74,0.28
16.66,0.28
16.66,0.28
16.68,0.28
16.70,0.28
16.55,0.28
16.51,0.28
16.35,0.28
16.67,0.29
16.82,0.31
16.58,0.31
16.27,0.30
15.74,0.29
15.39,0.28
15.30,0.28
15.44,0.28
15.61,0.28
15.86,0.28
16.11,0.28
16.45,0.28
16.50,0.28
16.52,0.27
16.64,0.27
16.66,0.26
16.78,0.26
16.79,0.26
16.99,0.26
16.76,0.26
16.89,0.26
16.54,0.28
16.84,0.26
16.74,0.26
16.63,0.26
16.66,0.27
16.51,0.26
16.54,0.26
16.55,0.26
16.54,0.26
16.58,0.26
16.58,0.26
16.59,0.26
16.60,0.26
16.61,0.26
16.61,0.26
16.61,0.26
16.63,0.26
16.65,0.26
16.67,0.26
16.71,0.26
16.72,0.26
16.72,0.25
16.74,0.25
16.73,0.25
16.76,0.25
16.78,0.25
