PSNR,SSIM
14.75,0.26
14.84,0.26
14.83,0.26
14.82,0.26
14.77,0.26
14.73,0.26
14.72,0.26
14.72,0.26
14.77,0.26
14.80,0.26
14.82,0.26
14.82,0.27
14.84,0.27
14.85,0.27
14.96,0.27
15.14,0.27
15.01,0.29
10.18,0.31
10.98,0.30
15.61,0.28
15.53,0.27
15.51,0.27
15.42,0.26
15.43,0.26
15.53,0.26
15.82,0.27
15.81,0.27
15.95,0.27
16.06,0.27
16.15,0.27
15.35,0.28
16.35,0.27
16.52,0.27
16.46,0.26
16.39,0.26
12.85,0.30
16.17,0.26
15.66,0.25
15.25,0.25
14.84,0.25
14.68,0.26
14.89,0.25
15.36,0.26
15.74,0.26
12.43,0.29
16.82,0.26
17.15,0.26
17.28,0.27
17.30,0.27
17.45,0.27
17.47,0.26
17.76,0.27
17.62,0.27
17.39,0.26
17.25,0.26
17.24,0.26
17.22,0.26
17.14,0.26
17.01,0.26
16.90,0.26
16.81,0.26
16.77,0.26
16.68,0.26
16.50,0.26
16.27,0.26
16.24,0.26
15.83,0.25
15.43,0.25
15.44,0.25
15.52,0.25
15.48,0.25
15.54,0.25
15.46,0.25
15.68,0.26
15.97,0.27
15.96,0.27
15.79,0.27
15.27,0.26
14.84,0.25
14.63,0.24
14.65,0.24
14.69,0.24
14.97,0.24
15.14,0.24
15.41,0.24
15.45,0.24
15.50,0.24
15.62,0.24
15.93,0.23
16.06,0.24
15.42,0.23
14.22,0.23
13.93,0.24
15.07,0.24
15.65,0.26
15.88,0.25
15.93,0.25
15.90,0.26
16.20,0.27
15.73,0.27
15.46,0.27
15.54,0.27
15.58,0.27
15.67,0.27
15.75,0.28
15.81,0.28
15.82,0.28
15.83,0.28
15.86,0.28
15.92,0.28
15.95,0.28
15.62,0.28
15.99,0.29
16.10,0.28
16.21,0.27
16.25,0.27
16.25,0.27
16.27,0.27
16.30,0.27
16.27,0.27
