PSNR,SSIM
15.10,0.17
15.02,0.16
14.91,0.16
14.81,0.16
14.72,0.16
14.66,0.16
14.61,0.16
14.56,0.16
14.56,0.16
14.56,0.16
14.49,0.16
14.42,0.16
14.39,0.16
14.39,0.16
14.45,0.16
14.53,0.16
14.08,0.16
9.50,0.17
10.30,0.16
14.76,0.15
14.90,0.15
14.97,0.15
15.02,0.15
15.06,0.15
15.13,0.15
15.27,0.15
15.36,0.15
15.48,0.15
15.52,0.15
15.48,0.15
15.43,0.15
15.38,0.14
15.37,0.14
15.38,0.14
15.30,0.14
11.30,0.15
15.17,0.14
15.17,0.13
15.19,0.13
15.19,0.14
15.30,0.14
15.35,0.14
15.37,0.14
15.31,0.14
10.68,0.14
15.21,0.13
15.15,0.13
15.20,0.13
15.26,0.13
15.42,0.13
15.51,0.13
15.69,0.13
15.69,0.13
15.61,0.12
15.52,0.12
15.61,0.13
15.70,0.13
15.67,0.13
15.70,0.13
15.69,0.13
15.65,0.13
15.59,0.13
15.54,0.13
15.50,0.13
15.47,0.13
15.45,0.13
15.41,0.13
15.39,0.14
15.28,0.14
15.12,0.14
14.68,0.14
14.51,0.14
14.44,0.15
14.84,0.15
14.89,0.17
14.59,0.17
14.13,0.17
13.49,0.16
13.05,0.16
12.87,0.16
12.82,0.16
12.90,0.16
13.01,0.16
13.18,0.16
13.39,0.16
13.44,0.16
13.63,0.15
14.03,0.15
14.35,0.15
14.56,0.15
14.78,0.15
14.95,0.15
14.88,0.15
14.98,0.15
14.47,0.16
14.94,0.15
14.89,0.15
14.81,0.15
14.77,0.15
14.64,0.15
14.65,0.15
14.74,0.15
14.73,0.15
14.77,0.15
14.81,0.15
14.83,0.15
14.88,0.15
14.92,0.16
14.94,0.15
14.96,0.16
14.98,0.16
15.00,0.16
15.01,0.16
15.03,0.16
15.04,0.16
15.07,0.16
15.11,0.16
15.10,0.16
15.14,0.16
15.19,0.16
